name,alias,country,region,lat,lon,isni
Al Mansour University College,كليه المنصور الجامعه,Iraq,,33.315,44.42833333,
Al Rasheed University College,كليه الرشيد الجامعه,Iraq,,33.28472222,44.30944444,
Al Turath University College,كليه التراث الجامعه,Iraq,,33.31805556,44.36055556,
Al Yarmouk University College,كليه اليرموك الجامعه,Iraq,,33.3,44.44444444,
Al Zawiya University,جامعة 7 أبريل; جامعة 7 ابريل; جامعة السابع من أبريل; جامعة السابع من ابريل; جامعه السابع من أبريل,Libya,Zawiya,32.75,12.7167,
Al al-Bayt University,جامعه آل البيت; AABU,Jordan,Mafraq,32.361,36.219,0000 0001 0679 2502
Al-Aqsa University,Al-Aksa-Universität; Universite al-Aqsa; Universidade de Al-Aqsa,,Gaza City,31.4836,34.445544,
Al-Baath University,جامعة البعث كلية الطب البيطري; جامعه البعث; Ǧāmiʿat al-Baʿṯ; Universität Homs,Syria,,34.7128,36.7086,
Al-Farabi University,Әл-Фараби университеті; Қазақ мемлекеттік университеті; Қазақ Мемлекеттік Университеті; Қазақ ұлттық университеті; Қазақ Ұлттық Университеті; ҚазМУ; ҚазҰУ; Казахский государственный университет; Казахский государственный университет им. С.М.Кирова; Казахский государственный университет имени С. М. Кирова; Казахский национальный университет им. Аль-Фараби; Казахский Национальный университет имени аль-Фараби; КазГУ; КазНУ; КазНУ им. Аль-Фараби; Kazašská národní univerzita Al Farabího,Kazakhstan,Almaty,43.2525,76.926667,
Al-Furat University,,Syria,,35.31888889,40.11055556,
Al-Hussein Bin Talal University,جامعه الحسين بن طلال,Jordan,,30.26638889,35.68111111,
